clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
TOV21G_OVARY,TOV21G_OVARY,Ovary/Fallopian Tube,unknown,unknown,
OVTOKO_OVARY,OVTOKO_OVARY,Ovary/Fallopian Tube,unknown,unknown,
TE1_OESOPHAGUS,TE1_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
RERFLCAD2_LUNG,RERFLCAD2_LUNG,Lung,unknown,unknown,
DANG_PANCREAS,DANG_PANCREAS,Pancreas,unknown,unknown,
LMSU_STOMACH,LMSU_STOMACH,Esophagus/Stomach,unknown,unknown,
MSTO211H_PLEURA,MSTO211H_PLEURA,Pleura,unknown,unknown,
T47D_BREAST,T47D_BREAST,Breast,unknown,unknown,
PC3_PROSTATE,PC3_PROSTATE,Prostate,unknown,unknown,
VMRCRCZ_KIDNEY,VMRCRCZ_KIDNEY,Kidney,unknown,unknown,
RVH421_SKIN,RVH421_SKIN,Skin,unknown,unknown,
JHOS2_OVARY,JHOS2_OVARY,Ovary/Fallopian Tube,unknown,unknown,
HS852T_SKIN,HS852T_SKIN,Skin,unknown,unknown,
HCC1806_BREAST,HCC1806_BREAST,Breast,unknown,unknown,
SKMEL30_SKIN,SKMEL30_SKIN,Skin,unknown,unknown,
NCIH522_LUNG,NCIH522_LUNG,Lung,unknown,unknown,
PATU8988S_PANCREAS,PATU8988S_PANCREAS,Pancreas,unknown,unknown,
MFE280_ENDOMETRIUM,MFE280_ENDOMETRIUM,Uterus,unknown,unknown,
SNUC4_LARGE_INTESTINE,SNUC4_LARGE_INTESTINE,Bowel,unknown,unknown,
KYSE520_OESOPHAGUS,KYSE520_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
COLO792_SKIN,COLO792_SKIN,Skin,unknown,unknown,
SW1990_PANCREAS,SW1990_PANCREAS,Pancreas,unknown,unknown,
NCIH1793_LUNG,NCIH1793_LUNG,Lung,unknown,unknown,
HS729_SOFT_TISSUE,HS729_SOFT_TISSUE,Fibroblast,unknown,unknown,
TE6_OESOPHAGUS,TE6_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
NCIH727_LUNG,NCIH727_LUNG,Lung,unknown,unknown,
PANC0203_PANCREAS,PANC0203_PANCREAS,Pancreas,unknown,unknown,
NCIH358_LUNG,NCIH358_LUNG,Lung,unknown,unknown,
HEC59_ENDOMETRIUM,HEC59_ENDOMETRIUM,Uterus,unknown,unknown,
HCC1419_BREAST,HCC1419_BREAST,Breast,unknown,unknown,
NCIH1792_LUNG,NCIH1792_LUNG,Lung,unknown,unknown,
NCIH1568_LUNG,NCIH1568_LUNG,Lung,unknown,unknown,
MESSA_SOFT_TISSUE,MESSA_SOFT_TISSUE,Uterus,unknown,unknown,
EFM192A_BREAST,EFM192A_BREAST,Breast,unknown,unknown,
MKN7_STOMACH,MKN7_STOMACH,Esophagus/Stomach,unknown,unknown,
SNU423_LIVER,SNU423_LIVER,Liver,unknown,unknown,
PK45H_PANCREAS,PK45H_PANCREAS,Pancreas,unknown,unknown,
ZR751_BREAST,ZR751_BREAST,Breast,unknown,unknown,
KMRC3_KIDNEY,KMRC3_KIDNEY,Kidney,unknown,unknown,
NCIH2077_LUNG,NCIH2077_LUNG,unknown,unknown,unknown,
NCIH2087_LUNG,NCIH2087_LUNG,Lung,unknown,unknown,
NCIH1975_LUNG,NCIH1975_LUNG,Lung,unknown,unknown,
NCIH1944_LUNG,NCIH1944_LUNG,Lung,unknown,unknown,
253JBV_URINARY_TRACT,253JBV_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
786O_KIDNEY,786O_KIDNEY,Kidney,unknown,unknown,
IGROV1_OVARY,IGROV1_OVARY,Ovary/Fallopian Tube,unknown,unknown,
LOVO_LARGE_INTESTINE,LOVO_LARGE_INTESTINE,Bowel,unknown,unknown,
LOXIMVI_SKIN,LOXIMVI_SKIN,Skin,unknown,unknown,
HPAC_PANCREAS,HPAC_PANCREAS,Pancreas,unknown,unknown,
BXPC3_PANCREAS,BXPC3_PANCREAS,Pancreas,unknown,unknown,
HUH7_LIVER,HUH7_LIVER,Liver,unknown,unknown,
MFE296_ENDOMETRIUM,MFE296_ENDOMETRIUM,Uterus,unknown,unknown,
KP2_PANCREAS,KP2_PANCREAS,Pancreas,unknown,unknown,
FTC238_THYROID,FTC238_THYROID,Thyroid,unknown,unknown,
H4_CENTRAL_NERVOUS_SYSTEM,H4_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
KMBC2_URINARY_TRACT,KMBC2_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
ONS76_CENTRAL_NERVOUS_SYSTEM,ONS76_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
PATU8988T_PANCREAS,PATU8988T_PANCREAS,Pancreas,unknown,unknown,
253J_URINARY_TRACT,253J_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
639V_URINARY_TRACT,639V_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
CHL1_SKIN,CHL1_SKIN,Skin,unknown,unknown,
HCT116_LARGE_INTESTINE,HCT116_LARGE_INTESTINE,Bowel,unknown,unknown,
KYSE270_OESOPHAGUS,KYSE270_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
KU1919_URINARY_TRACT,KU1919_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
HCT15_LARGE_INTESTINE,HCT15_LARGE_INTESTINE,Bowel,unknown,unknown,
HT29_LARGE_INTESTINE,HT29_LARGE_INTESTINE,Bowel,unknown,unknown,
MCAS_OVARY,MCAS_OVARY,Ovary/Fallopian Tube,unknown,unknown,
SUIT2_PANCREAS,SUIT2_PANCREAS,Pancreas,unknown,unknown,
TE8_OESOPHAGUS,TE8_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
CJM_SKIN,CJM_SKIN,Skin,unknown,unknown,
